source,price,surface,floor,build_year,heating
https://www.otodom.pl/oferta/przestronna-kawalerka-rezerwacja-ID3Y0qU.html#115d627921,185 000 zł ,31 m²,5,1980,miejskie
https://www.otodom.pl/oferta/3-pokoje-tbs-z-korzystnym-czynszem-ID3XYFq.html#115d627921,110 000 zł ,"51,34 m²",3,2003,miejskie
https://www.otodom.pl/oferta/mieszkanie-blisko-morza-z-widokiem-na-wisle-ID3XQ3G.html#115d627921,165 000 zł ,"35,37 m²",2,1975,kotłownia
https://www.otodom.pl/oferta/gdansk-siedlce-kawalerka-na-sprzedaz-250-000-zl-ID3XNvo.html#115d627921,250 000 zł ,"30,94 m²",3,1970,miejskie
https://www.otodom.pl/oferta/kawalerka-we-wrzeszczu-swietna-inwestycja-ID3XJW2.html#115d627921,220 000 zł ,"27,50 m²",2,1935,
https://www.otodom.pl/oferta/przytulne-mieszkanie-na-styku-gdanska-i-borkowa-ID3XGDS.html#115d627921,249 000 zł ,"39,50 m²",2,2013,miejskie
https://www.otodom.pl/oferta/kawalerka-po-kapitalnym-remoncie-wrzeszcz-ID3XChi.html#115d627921,249 000 zł ,28 m²,1,1930,elektryczne
https://www.otodom.pl/oferta/kawalerka-po-remoncie-przy-tramwaju-inwestycja-ID3XBtV.html#115d627921,248 000 zł ,28 m²,1,1930,elektryczne
https://www.otodom.pl/oferta/kawalerka-w-genialnej-lokalizacji-przymorze-ID3XxGM.html#115d627921,215 000 zł ,22 m²,8,1965,miejskie
https://www.otodom.pl/oferta/mieszkanie-pruszcz-gdanski-ID3Xx2M.html#115d627921,110 000 zł ,32 m²,,1945,gazowe
https://www.otodom.pl/oferta/nowy-port-przytulne-i-ustawne-mieszkanie-ID3Xssg.html#115d627921,235 000 zł ,"34,13 m²",parter,1930,inne
https://www.otodom.pl/oferta/mieszkanie-36-m-gdansk-ID3Xqla.html#115d627921,209 000 zł ,36 m²,2,1950,piece kaflowe
https://www.otodom.pl/oferta/rubinowa-26m2-ii-pietro-po-kap-remoncie-ID3XiiI.html#115d627921,197 000 zł ,26 m²,2,1970,miejskie
https://www.otodom.pl/oferta/idealne-dla-pracownikow-2-3-pokoje-za-208-tys-ID3Xhq8.html#115d627921,208 000 zł ,36 m²,2,1950,
https://www.otodom.pl/oferta/mieszkanie-25-m-gdansk-ID3Xc56.html#115d627921,240 000 zł ,25 m²,2,2014,
https://www.otodom.pl/oferta/kawalerka-gdansk-przymorze-ul-obroncow-wybrzaza-ID3XaNC.html#115d627921,204 500 zł ,19 m²,3,1970,miejskie
https://www.otodom.pl/oferta/kawalerka-bezczynszowa-od-zaraz-ID3X3p2.html#115d627921,119 990 zł ,"36,40 m²",parter,2000,elektryczne
https://www.otodom.pl/oferta/mieszkanie-kowale-ID3VXVI.html#115d627921,249 000 zł ,"45,20 m²",parter,2000,
https://www.otodom.pl/oferta/przestronne-dwa-pokoje-w-dobrej-cenie-dabrowa-ID3VXHi.html#115d627921,250 000 zł ,"42,47 m²",3,1994,miejskie
https://www.otodom.pl/oferta/mieszkanie-37-m-pruszcz-gdanski-ID3VWDC.html#115d627921,220 000 zł ,37 m²,2,1990,miejskie
https://www.otodom.pl/oferta/sloneczna-kawalerka-z-tarasem-do-wprowadzenia-ID3VLmM.html#115d627921,249 000 zł ,"31,12 m²",parter,2000,miejskie
https://www.otodom.pl/oferta/mieszkanie-gdansk-siedlce-ID3VKx2.html#115d627921,215 000 zł ,36 m²,2,1930,inne
https://www.otodom.pl/oferta/mieszkanie-22-m-tczew-ID3VJzy.html#115d627921,137 000 zł ,22 m²,2,2000,elektryczne
https://www.otodom.pl/oferta/mieszkanie-47-m-pruszcz-gdanski-ID3VHyc.html#115d627921,250 000 zł ,47 m²,2,1950,
https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-suchanino-31m2-mzn2033288414,185 000 zł,"31,00 m²",5 / 10 ,1980 ,Ogrzewanie (c.o. z sieci miejskiej) 
https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-przerobka-bajki-25m2-mzn2033287423,215 000 zł,"25,16 m²",5 / 10 ,1985 ,Ogrzewanie (c.o. miejskie) 
https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-bajki-25m2-mzn2033287422,215 000 zł,"25,15 m²",5 / 10 ,1985 ,Ogrzewanie (c.o. miejskie) 
https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdanski-pruszcz-gdanski-obroncow-pokoju-26m2-mzn2033284127,185 000 zł,"26,50 m²",1 / 4 ,1970 ,Ogrzewanie (c.o. miejskie) 
https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-swibnienska-35m2-mzn2033281258,165 000 zł,"35,37 m²",2 / 2 ,1975 ,Ogrzewanie (c.o. własne) 
https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-rudniki-zagroble-40m2-mzn2033270498,170 000 zł,"40,00 m²",1 / 1 ,,
https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-szara-30m2-mzn2033279312,250 000 zł,"30,94 m²",3 / 12 ,1970 ,Ogrzewanie (c.o. z sieci miejskiej) 
https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-ujescisko-lostowice-zlota-31m2-mzn2033278534,249 000 zł,"31,12 m²",parter / 2 ,2000 ,Ogrzewanie 
https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-matarnia-mjr-mieczyslawa-slabego-29m2-mzn2033278499,209 000 zł,"29,35 m²",3 / 4 ,1970 ,Ogrzewanie 
https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-ujescisko-lostowice-pastelowa-36m2-mzn2033278504,224 000 zł,"36,14 m²",parter / 3 ,2019 ,Ogrzewanie 
https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wrzeszcz-boleslawa-chrobrego-28m2-mzn2033278483,249 000 zł,"28,00 m²",1 / 2 ,1930 ,Ogrzewanie 
https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-ujescisko-lostowice-przemyska-38m2-mzn2033278232,220 000 zł,"38,77 m²",1 / 5 ,2020 ,
https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wrzeszcz-boleslawa-chrobrego-27m2-mzn2033276359,220 000 zł,"27,50 m²",2 / 3 ,1935 ,
https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-przymorze-slaska-22m2-mzn2033275252,215 000 zł,"22,00 m²",8 / 8 ,,
https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wrzeszcz-raclawicka-30m2-mzn2033253093,250 000 zł,"30,00 m²",parter / 2 ,,
https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wrzeszcz-boleslawa-chrobrego-28m2-mzn2033253082,248 000 zł,"28,00 m²",1 / 2 ,1930 ,Ogrzewanie (c.o. elektryczne) 
https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-slaska-22m2-mzn2033251320,215 000 zł,"22,00 m²",8 / 8 ,1965 ,Ogrzewanie (miejskie) 
https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-przymorze-gen-bora-komorowskiego-28m2-mzn2033246751,249 000 zł,"28,00 m²",3 / 8 ,1980 ,Ogrzewanie (miejskie) 
https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-jasien-jabloniowa-32m2-mzn2033243587,234 955 zł,"32,61 m²",2 ,2019 ,
https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-siedlce-pobiedzisko-38m2-mzn2033242583,215 000 zł,"38,18 m²",2 ,,
https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-siedlce-pobiedzisko-36m2-mzn2033237964,208 000 zł,"36,00 m²",2 / 2 ,1950 ,"Ogrzewanie (c.o. węglowe,piec) "
https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-siedlce-pobiedzisko-36m2-mzn2033237366,215 000 zł,"36,00 m²",2 / 2 ,,Ogrzewanie (etażowe) 
https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-ujescisko-lostowice-niepolomicka-34m2-mzn2033193257,249 000 zł,"34,00 m²",5 / 5 ,2018 ,Ogrzewanie (c.o. miejskie) 
https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wyspa-sobieszewska-turystyczna-30m2-mzn2033190855,235 620 zł,"30,60 m²",1 / 2 ,2019 ,
https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-ujescisko-lostowice-przemyska-37m2-mzn2033180364,242 000 zł,"37,51 m²",3 / 5 ,2019 ,
https://adresowo.pl/o/y2a7u6,185 000 zł,26 m²,4 piętro,,
https://adresowo.pl/o/t8v5h8,184 000 zł,19 m²,3 piętro,,
https://adresowo.pl/o/v0h2n7,230 000 zł,27 m²,2 piętro,,
https://adresowo.pl/o/z2c2a3,249 000 zł,34 m²,5 piętro,,
https://adresowo.pl/o/n3l2g0,240 000 zł,30 m²,,,
https://adresowo.pl/o/w6g8u0,96 500 zł,37 m²,1 piętro,,
https://adresowo.pl/o/p9w7d5,234 000 zł,30 m²,,,
https://adresowo.pl/o/n7g3n3,229 000 zł,28 m²,4 piętro,,
https://adresowo.pl/o/z8u8f8,230 000 zł,"34,77 m²",1 piętro,,
https://adresowo.pl/o/q4m4f8,219 000 zł,"36,96 m²",2 piętro,,
https://www.freedom-nieruchomosci.pl/oferta/14371-3685-OMS,240 000 zł,29 m2,parter,,
https://metrohouse.pl/nieruchomosc/LAKE629/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___LAKE629,225 928 PLN,36.4 m2,"
                              1/4
                          ",2019,"
                              Miejskie
                          "
https://metrohouse.pl/nieruchomosc/ZETE174/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___ZETE174,201 004 PLN,32.4 m2,"
                              3/4
                          ",2019,"
                              Miejskie
                          "
https://metrohouse.pl/nieruchomosc/HUWU645/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___HUWU645,238 216 PLN,32.6 m2,"
                              2/4
                          ",2019,"
                              Miejskie
                          "
https://metrohouse.pl/nieruchomosc/PUJI449/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-stezycka/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___PUJI449,188 565 PLN,29.0 m2,"
                              1/2
                          ",2020,"
                              Piec
                          "
https://metrohouse.pl/nieruchomosc/CIWO238/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-stezycka/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___CIWO238,249 831 PLN,43.8 m2,"
                              1/2
                          ",2020,"
                              Piec
                          "
https://metrohouse.pl/nieruchomosc/XIFY737/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-stezycka/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___XIFY737,189 410 PLN,29.1 m2,"
                              1/2
                          ",2020,"
                              Piec
                          "
https://metrohouse.pl/nieruchomosc/SYWI828/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-stezycka/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___SYWI828,249 831 PLN,43.8 m2,"
                              1/2
                          ",2020,"
                              Piec
                          "
https://metrohouse.pl/nieruchomosc/DUBU627/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-stezycka/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___DUBU627,189 410 PLN,29.1 m2,"
                              1/2
                          ",2020,"
                              Piec
                          "
https://metrohouse.pl/nieruchomosc/CUPU714/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-stezycka/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___CUPU714,188 565 PLN,29.0 m2,"
                              1/2
                          ",2020,"
                              Piec
                          "
https://metrohouse.pl/nieruchomosc/LUFI974/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-stezycka/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___LUFI974,249 831 PLN,43.8 m2,"
                              1/2
                          ",2020,"
                              Piec
                          "
https://metrohouse.pl/nieruchomosc/WOJY773/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-stezycka/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___WOJY773,189 410 PLN,29.1 m2,"
                              1/2
                          ",2020,"
                              Piec
                          "
https://metrohouse.pl/nieruchomosc/KYZO459/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-stezycka/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___KYZO459,189 410 PLN,29.1 m2,"
                              1/2
                          ",2020,"
                              Piec
                          "
https://metrohouse.pl/nieruchomosc/MYJO363/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-stezycka/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___MYJO363,188 565 PLN,29.0 m2,"
                              1/2
                          ",2020,"
                              Piec
                          "
https://metrohouse.pl/nieruchomosc/HEHO431/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-stezycka/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___HEHO431,249 831 PLN,43.8 m2,"
                              1/2
                          ",2020,"
                              Piec
                          "
https://metrohouse.pl/nieruchomosc/FUPI696/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-stezycka/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___FUPI696,249 831 PLN,43.8 m2,"
                              1/2
                          ",2020,"
                              Piec
                          "
https://metrohouse.pl/nieruchomosc/MAWE807/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-stezycka/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___MAWE807,189 410 PLN,29.1 m2,"
                              1/2
                          ",2020,"
                              Piec
                          "
https://metrohouse.pl/nieruchomosc/XELA057/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-stezycka/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___XELA057,249 831 PLN,43.8 m2,"
                              1/2
                          ",2020,"
                              Piec
                          "
https://metrohouse.pl/nieruchomosc/WULI067/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-stezycka/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___WULI067,189 410 PLN,29.1 m2,"
                              1/2
                          ",2020,"
                              Piec
                          "
https://metrohouse.pl/nieruchomosc/DIRO313/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-stezycka/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___DIRO313,189 410 PLN,29.1 m2,"
                              1/2
                          ",2020,"
                              Piec
                          "
https://metrohouse.pl/nieruchomosc/ZINE346/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-stezycka/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___ZINE346,188 565 PLN,29.0 m2,"
                              1/2
                          ",2020,"
                              Piec
                          "
https://metrohouse.pl/nieruchomosc/BIGI054/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-stezycka/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___BIGI054,188 565 PLN,29.0 m2,"
                              1/2
                          ",2020,"
                              Piec
                          "
https://metrohouse.pl/nieruchomosc/ZUBO395/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-stezycka/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___ZUBO395,249 831 PLN,43.8 m2,"
                              1/2
                          ",2020,"
                              Piec
                          "
https://metrohouse.pl/nieruchomosc/KIXI152/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-stezycka/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___KIXI152,249 831 PLN,43.8 m2,"
                              1/2
                          ",2020,"
                              Piec
                          "
https://metrohouse.pl/nieruchomosc/HADA390/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-stezycka/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___HADA390,189 410 PLN,29.1 m2,"
                              1/2
                          ",2020,"
                              Piec
                          "
https://metrohouse.pl/nieruchomosc/FYSA979/nieruchomosc-na-sprzedaz-mieszkanie-gdansk-jasien-stezycka/!/caller/L25hLXNwcnplZGF6L21pZXN6a2FuaWUvZ2RhbnNrLy0vMjUwMDAwLWRvX1BMTi8%3D___ref___FYSA979,188 565 PLN,29.0 m2,"
                              1/2
                          ",2020,"
                              Piec
                          "
